FID,id,lat,lon,BoroName
132,3056,40.69072549,-73.95133465,Brooklyn
133,3054,40.6894932,-73.942061,Brooklyn
134,3050,40.6851532,-73.94111,Brooklyn
135,3048,40.68402,-73.94977,Brooklyn
136,3052,40.686312,-73.935775,Brooklyn
137,278,40.69766564,-73.98476437,Brooklyn
138,271,40.68522672,-73.97800148,Brooklyn
139,3222,40.6851596,-73.97711366,Brooklyn
140,3058,40.69237074,-73.93705428,Brooklyn
141,3046,40.682601,-73.938037,Brooklyn
142,3047,40.6823687,-73.944118,Brooklyn
143,3041,40.67890679,-73.94142771,Brooklyn
144,3044,40.6800105,-73.938475,Brooklyn
145,3043,40.6814598,-73.934903,Brooklyn
146,3042,40.6794268,-73.9298911,Brooklyn
147,3049,40.68488,-73.96304,Brooklyn
148,3120,40.74161,-73.96044,Queens
149,3125,40.74708586,-73.94977234,Queens
150,3130,40.75325964,-73.94335788,Queens
151,3126,40.74718234,-73.9432635,Queens
152,3121,40.74524768,-73.94733276,Queens
153,3124,40.74731,-73.95451,Queens
154,3129,40.75110165,-73.94073717,Queens
155,3119,40.74232744,-73.95411749,Queens
156,3127,40.74966,-73.9521,Queens
157,3123,40.74469738,-73.93540375,Queens
158,3128,40.75052534,-73.94594845,Queens
159,168,40.73971301,-73.99456405,Manhattan
160,450,40.76227205,-73.98788205,Manhattan
161,312,40.722055,-73.989111,Manhattan
162,382,40.73492695,-73.99200509,Manhattan
163,352,40.76340613,-73.97722479,Manhattan
164,212,40.74334935,-74.00681753,Manhattan
165,388,40.74971775,-74.00295035,Manhattan
166,492,40.75019995,-73.99093085,Manhattan
167,387,40.71273266,-74.0046073,Manhattan
168,285,40.73454567,-73.99074142,Manhattan
169,476,40.74394314,-73.97966069,Manhattan
170,263,40.71729,-73.996375,Manhattan
171,79,40.71911552,-74.00666661,Manhattan
172,379,40.749156,-73.9916,Manhattan
173,368,40.73038599,-74.00214988,Manhattan
174,336,40.73047747,-73.99906065,Manhattan
175,426,40.71754834,-74.01322069,Manhattan
176,281,40.7643971,-73.97371465,Manhattan
177,229,40.72743423,-73.99379025,Manhattan
178,439,40.7262807,-73.98978041,Manhattan
179,347,40.728846,-74.008591,Manhattan
180,293,40.73028666,-73.9907647,Manhattan
181,329,40.72043411,-74.01020609,Manhattan
182,3002,40.711512,-74.015756,Manhattan
183,335,40.72903917,-73.99404649,Manhattan
184,502,40.714215,-73.981346,Manhattan
185,497,40.73704984,-73.99009296,Manhattan
186,491,40.74096374,-73.98602213,Manhattan
187,251,40.72317958,-73.99480012,Manhattan
188,445,40.72740794,-73.98142006,Manhattan
189,444,40.7423543,-73.98915076,Manhattan
190,161,40.72917025,-73.99810231,Manhattan
191,252,40.73226398,-73.99852205,Manhattan
192,428,40.72467721,-73.98783413,Manhattan
193,515,40.76009437,-73.99461843,Manhattan
194,237,40.73047309,-73.98672378,Manhattan
195,459,40.746745,-74.007756,Manhattan
196,280,40.73331967,-73.99510132,Manhattan
197,393,40.72299208,-73.97995466,Manhattan
198,268,40.71910537,-73.99973337,Manhattan
199,2022,40.759107,-73.959223,Manhattan
200,350,40.71559509,-73.9870295,Manhattan
201,453,40.74475148,-73.99915362,Manhattan
202,303,40.72362738,-73.99949601,Manhattan
203,2003,40.73381219,-73.98054421,Manhattan
204,529,40.7575699,-73.99098507,Manhattan
205,410,40.72066442,-73.98517977,Manhattan
206,2008,40.70569254,-74.01677685,Manhattan
207,490,40.751551,-73.993934,Manhattan
208,116,40.74177603,-74.00149746,Manhattan
209,385,40.75797322,-73.96603308,Manhattan
210,499,40.76915505,-73.98191841,Manhattan
211,349,40.71850211,-73.98329859,Manhattan
212,527,40.744023,-73.976056,Manhattan
213,466,40.74395411,-73.99144871,Manhattan
214,300,40.728145,-73.990214,Manhattan
215,238,40.7361967,-74.00859207,Manhattan
216,236,40.7284186,-73.98713956,Manhattan
217,479,40.76019252,-73.9912551,Manhattan
218,345,40.73649403,-73.99704374,Manhattan
219,504,40.73221853,-73.98165557,Manhattan
220,361,40.71605866,-73.99190759,Manhattan
221,447,40.76370739,-73.9851615,Manhattan
222,128,40.72710258,-74.00297088,Manhattan
223,146,40.71625008,-74.0091059,Manhattan
224,250,40.72456089,-73.99565293,Manhattan
225,160,40.748238,-73.978311,Manhattan
226,225,40.74195138,-74.00803013,Manhattan
227,380,40.73401143,-74.00293877,Manhattan
228,493,40.7568001,-73.98291153,Manhattan
229,369,40.73224119,-74.00026394,Manhattan
230,311,40.7172274,-73.98802084,Manhattan
231,507,40.73912601,-73.97973776,Manhattan
232,537,40.74025878,-73.98409214,Manhattan
233,441,40.756014,-73.967416,Manhattan
234,461,40.73587678,-73.98205027,Manhattan
235,454,40.75455731,-73.96592976,Manhattan
236,357,40.73261787,-73.99158043,Manhattan
237,2009,40.71117444,-73.99682619,Manhattan
238,295,40.71406667,-73.99293911,Manhattan
239,2012,40.739445,-73.976806,Manhattan
240,482,40.73935542,-73.99931783,Manhattan
241,346,40.73652889,-74.00618026,Manhattan
242,496,40.73726186,-73.99238967,Manhattan
243,526,40.74765947,-73.98490707,Manhattan
244,455,40.75001986,-73.96905301,Manhattan
245,254,40.73532427,-73.99800419,Manhattan
246,486,40.7462009,-73.98855723,Manhattan
247,485,40.75038009,-73.98338988,Manhattan
248,334,40.74238787,-73.99726235,Manhattan
249,257,40.71939226,-74.00247214,Manhattan
250,358,40.73291553,-74.00711384,Manhattan
251,435,40.74173969,-73.99415556,Manhattan
252,494,40.74734825,-73.99723551,Manhattan
253,318,40.75320159,-73.9779874,Manhattan
254,503,40.73827428,-73.98751968,Manhattan
255,174,40.7381765,-73.97738662,Manhattan
256,153,40.75206231,-73.9816324,Manhattan
257,423,40.76584941,-73.98690506,Manhattan
258,449,40.76461837,-73.98789473,Manhattan
259,306,40.70823502,-74.00530063,Manhattan
260,383,40.735238,-74.000271,Manhattan
261,458,40.751396,-74.005226,Manhattan
262,528,40.74290902,-73.97706058,Manhattan
263,2021,40.75929124,-73.98859651,Manhattan
264,360,40.70717936,-74.00887308,Manhattan
265,501,40.744219,-73.97121214,Manhattan
266,489,40.75066386,-74.00176802,Manhattan
267,531,40.71893904,-73.99266288,Manhattan
268,545,40.736502,-73.97809472,Manhattan
269,521,40.75096735,-73.99444208,Manhattan
270,147,40.71542197,-74.01121978,Manhattan
271,224,40.71146364,-74.00552427,Manhattan
272,470,40.74345335,-74.00004031,Manhattan
273,433,40.72955361,-73.98057249,Manhattan
274,342,40.71739973,-73.98016555,Manhattan
275,523,40.75466591,-73.99138152,Manhattan
276,247,40.73535398,-74.00483091,Manhattan
277,463,40.74206539,-74.00443172,Manhattan
278,195,40.70905623,-74.01043382,Manhattan
279,223,40.73781509,-73.99994661,Manhattan
280,442,40.746647,-73.993915,Manhattan
281,510,40.7606597,-73.98042047,Manhattan
282,446,40.74487634,-73.99529885,Manhattan
283,498,40.74854862,-73.98808416,Manhattan
284,522,40.75714758,-73.97207836,Manhattan
285,2010,40.72165481,-74.00234737,Manhattan
286,151,40.7218158,-73.99720307,Manhattan
287,401,40.72019576,-73.98997825,Manhattan
288,265,40.72229346,-73.99147535,Manhattan
289,294,40.73049393,-73.9957214,Manhattan
290,465,40.75513557,-73.98658032,Manhattan
291,519,40.751873,-73.977706,Manhattan
292,376,40.70862144,-74.00722156,Manhattan
293,536,40.74144387,-73.97536082,Manhattan
294,279,40.707873,-74.00167,Manhattan
295,315,40.70355377,-74.00670227,Manhattan
296,457,40.76695317,-73.98169333,Manhattan
297,290,40.76020258,-73.96478473,Manhattan
298,478,40.76030096,-73.99884222,Manhattan
299,448,40.75660359,-73.9979009,Manhattan
300,404,40.7405826,-74.00550867,Manhattan
301,402,40.7403432,-73.98955109,Manhattan
302,127,40.73172428,-74.00674436,Manhattan
303,434,40.74317449,-74.00366443,Manhattan
304,432,40.72621788,-73.98379855,Manhattan
305,308,40.71307916,-73.99851193,Manhattan
306,296,40.71413089,-73.9970468,Manhattan
307,546,40.74444921,-73.98303529,Manhattan
308,297,40.734232,-73.986923,Manhattan
309,533,40.75299641,-73.98721619,Manhattan
310,477,40.75640548,-73.9900262,Manhattan
311,307,40.71427487,-73.98990025,Manhattan
312,284,40.73901691,-74.00263761,Manhattan
313,483,40.73223272,-73.98889957,Manhattan
314,325,40.73624527,-73.98473765,Manhattan
315,488,40.75645824,-73.99372222,Manhattan
316,317,40.72453734,-73.98185424,Manhattan
317,422,40.770513,-73.988038,Manhattan
318,173,40.76064679,-73.98442659,Manhattan
319,469,40.76344058,-73.98268129,Manhattan
320,474,40.7451677,-73.98683077,Manhattan
321,403,40.72502876,-73.99069656,Manhattan
322,320,40.717571,-74.005549,Manhattan
323,475,40.73524276,-73.98758561,Manhattan
324,508,40.76341379,-73.99667444,Manhattan
325,348,40.72490985,-74.00154702,Manhattan
326,355,40.71602118,-73.99974372,Manhattan
327,2004,40.724399,-74.004704,Manhattan
328,511,40.72938685,-73.97772429,Manhattan
329,480,40.76669671,-73.99061728,Manhattan
330,520,40.75992262,-73.97648516,Manhattan
331,375,40.72679454,-73.99695094,Manhattan
332,412,40.7158155,-73.99422366,Manhattan
333,377,40.72243797,-74.00566443,Manhattan
334,302,40.72082834,-73.97793172,Manhattan
335,359,40.75510267,-73.97498696,Manhattan
336,367,40.75828065,-73.97069431,Manhattan
337,326,40.72953837,-73.98426726,Manhattan
338,438,40.72779126,-73.98564945,Manhattan
339,327,40.7153379,-74.01658354,Manhattan
340,500,40.76228826,-73.98336183,Manhattan
341,417,40.71291224,-74.01020234,Manhattan
342,259,40.70122128,-74.01234218,Manhattan
343,468,40.7652654,-73.98192338,Manhattan
344,405,40.739323,-74.008119,Manhattan
345,253,40.73543934,-73.99453948,Manhattan
346,514,40.76087502,-74.00277668,Manhattan
347,394,40.72521311,-73.97768752,Manhattan
348,291,40.713126,-73.984844,Manhattan
349,505,40.74901271,-73.98848395,Manhattan
350,330,40.71450451,-74.00562789,Manhattan
351,331,40.71173107,-73.99193043,Manhattan
352,328,40.72405549,-74.00965965,Manhattan
353,525,40.75594159,-74.0021163,Manhattan
354,495,40.76269882,-73.99301222,Manhattan
355,72,40.76727216,-73.99392888,Manhattan
356,472,40.7457121,-73.98194829,Manhattan
357,512,40.7500727,-73.99839279,Manhattan
358,301,40.72217444,-73.98368779,Manhattan
359,516,40.75206862,-73.96784384,Manhattan
360,341,40.71782143,-73.97628939,Manhattan
361,150,40.7208736,-73.98085795,Manhattan
362,530,40.771522,-73.990541,Manhattan
363,473,40.72110063,-73.9919254,Manhattan
364,164,40.75323098,-73.97032517,Manhattan
365,400,40.71926081,-73.98178024,Manhattan
366,305,40.76095756,-73.96724467,Manhattan
367,509,40.7454973,-74.00197139,Manhattan
368,351,40.70530954,-74.00612572,Manhattan
369,462,40.74691959,-74.00451887,Manhattan
370,264,40.70706456,-74.00731853,Manhattan
371,2006,40.76590936,-73.97634151,Manhattan
372,260,40.70365182,-74.01167797,Manhattan
373,340,40.71269042,-73.98776323,Manhattan
374,249,40.71870987,-74.0090009,Manhattan
375,167,40.7489006,-73.97604882,Manhattan
376,266,40.72368361,-73.97574813,Manhattan
377,304,40.70463334,-74.01361706,Manhattan
378,415,40.7047177,-74.00926027,Manhattan
379,82,40.71117416,-74.00016545,Manhattan
380,411,40.72228087,-73.97668709,Manhattan
381,427,40.701907,-74.013942,Manhattan
382,363,40.70834698,-74.01713445,Manhattan
383,2017,40.75022392,-73.97121414,Manhattan
384,513,40.768254,-73.988639,Manhattan
385,518,40.74780373,-73.9734419,Manhattan
386,137,40.761628,-73.972924,Manhattan
387,276,40.71748752,-74.0104554,Manhattan
388,316,40.70955958,-74.00653609,Manhattan
389,408,40.71076228,-73.99400398,Manhattan
390,356,40.71622644,-73.98261206,Manhattan
391,440,40.75255434,-73.97282625,Manhattan
392,339,40.72580614,-73.97422494,Manhattan
393,487,40.73314259,-73.97573881,Manhattan
394,386,40.71494807,-74.00234482,Manhattan
395,456,40.7597108,-73.97402311,Manhattan
396,3016,40.77105186,-73.9643383,Manhattan
397,332,40.71219906,-73.97948148,Manhattan
398,464,40.75934501,-73.96759673,Manhattan
399,228,40.7546011,-73.97187886,Manhattan
400,2023,40.75968085,-73.97031366,Manhattan
401,524,40.75527307,-73.98316936,Manhattan
402,248,40.72185379,-74.00771779,Manhattan
403,517,40.751581,-73.97791,Manhattan
404,337,40.7037992,-74.00838676,Manhattan
405,534,40.70255065,-74.0127234,Manhattan
406,152,40.71473993,-74.00910627,Manhattan
407,309,40.7149787,-74.013012,Manhattan
408,362,40.75172632,-73.98753523,Manhattan
409,267,40.75097711,-73.98765428,Manhattan
410,484,40.75500254,-73.98014437,Manhattan
411,3181,40.692609,-74.016398,Manhattan
412,3182,40.686931,-74.016966,Manhattan
413,540,40.74311555,-73.98215353,Manhattan
414,319,40.711066,-74.009447,Manhattan
415,3223,40.75899656,-73.96865398,Manhattan
416,3133,40.76735637,-73.96493528,Manhattan
417,3158,40.77163851,-73.98261428,Manhattan
418,3224,40.73997354,-74.00513873,Manhattan
419,3165,40.77575319,-73.97603963,Manhattan
420,3164,40.7770575,-73.97898475,Manhattan
