,Sid,Income,Outcome,Ratio,Borough
102,471,1418.0,1498.0,0.486282578875,Brooklyn
103,318,5890.0,5867.0,0.500978140682,Manhattan
104,503,4793.0,4785.0,0.500417623721,Manhattan
105,174,2861.0,2886.0,0.497824952149,Manhattan
106,153,4752.0,4680.0,0.503816793893,Manhattan
107,423,2089.0,2019.0,0.508519961052,Manhattan
108,449,2950.0,2400.0,0.551401869159,Manhattan
109,306,2829.0,2865.0,0.496838777661,Manhattan
110,389,1293.0,1330.0,0.492947007244,Brooklyn
111,383,4234.0,4256.0,0.498704358068,Manhattan
112,458,6202.0,6302.0,0.496001279591,Manhattan
113,528,4154.0,4173.0,0.498859132941,Manhattan
114,2021,3745.0,3750.0,0.499666444296,Manhattan
115,360,2213.0,2143.0,0.508034894399,Manhattan
116,501,4452.0,4003.0,0.526552335896,Manhattan
117,489,5045.0,5023.0,0.50109257052,Manhattan
118,531,4288.0,4306.0,0.498952757738,Manhattan
119,545,4406.0,4442.0,0.497965641953,Manhattan
120,521,14498.0,11368.0,0.560504136705,Manhattan
121,83,1724.0,2128.0,0.447559709242,Brooklyn
122,147,5538.0,5643.0,0.495304534478,Manhattan
123,224,2470.0,2438.0,0.5032599837,Manhattan
124,470,4283.0,4296.0,0.499242335937,Manhattan
125,433,4425.0,4564.0,0.492268327956,Manhattan
126,342,1532.0,1507.0,0.50411319513,Manhattan
127,372,336.0,389.0,0.463448275862,Brooklyn
128,274,1099.0,1292.0,0.459640317859,Brooklyn
129,324,1293.0,2128.0,0.377959660918,Brooklyn
130,523,5710.0,5682.0,0.501228932584,Manhattan
131,247,3106.0,3155.0,0.496086887079,Manhattan
132,232,1372.0,1454.0,0.485491861288,Brooklyn
133,258,1159.0,997.0,0.537569573284,Brooklyn
134,157,1375.0,1398.0,0.495852866931,Brooklyn
135,463,5134.0,5181.0,0.497721764421,Manhattan
136,195,3662.0,3588.0,0.505103448276,Manhattan
137,223,3880.0,3885.0,0.499678042498,Manhattan
138,442,5286.0,5310.0,0.498867497169,Manhattan
139,510,3620.0,3679.0,0.495958350459,Manhattan
140,446,6421.0,6433.0,0.499533219231,Manhattan
141,275,653.0,596.0,0.522818254604,Brooklyn
142,498,4575.0,4600.0,0.49863760218,Manhattan
143,522,2926.0,2811.0,0.510022659927,Manhattan
144,2010,3496.0,3672.0,0.487723214286,Manhattan
145,151,9509.0,9450.0,0.50155598924,Manhattan
146,401,4875.0,4868.0,0.500359232269,Manhattan
147,265,3403.0,3446.0,0.496860855599,Manhattan
148,294,4009.0,3929.0,0.505039052658,Manhattan
149,465,4346.0,4264.0,0.504761904762,Manhattan
150,519,12611.0,10769.0,0.539392643285,Manhattan
151,376,2244.0,2210.0,0.503816793893,Manhattan
152,536,4568.0,4598.0,0.498363517347,Manhattan
153,279,3830.0,3866.0,0.497661122661,Manhattan
154,315,3581.0,3599.0,0.498746518106,Manhattan
155,457,5898.0,5743.0,0.506657503651,Manhattan
156,290,3373.0,3355.0,0.501337693222,Manhattan
157,478,4196.0,4210.0,0.49916726148,Manhattan
158,448,4066.0,4083.0,0.49895692723,Manhattan
159,404,5119.0,5299.0,0.491361105778,Manhattan
160,402,7686.0,7685.0,0.500032528788,Manhattan
161,127,6790.0,6772.0,0.500663618935,Manhattan
162,434,3718.0,4031.0,0.479803845658,Manhattan
163,432,6306.0,6808.0,0.480860149459,Manhattan
164,308,2073.0,2070.0,0.500362056481,Manhattan
165,539,2502.0,2614.0,0.489053948397,Brooklyn
166,296,2622.0,2637.0,0.49857387336,Manhattan
167,546,5154.0,5059.0,0.504650935083,Manhattan
168,297,4750.0,4717.0,0.501742896377,Manhattan
169,533,3207.0,3073.0,0.510668789809,Manhattan
170,477,7854.0,7676.0,0.505730843529,Manhattan
171,307,4176.0,4211.0,0.497913437463,Manhattan
172,284,8375.0,8567.0,0.494333608783,Manhattan
173,483,5275.0,5376.0,0.495258661159,Manhattan
174,325,3461.0,3479.0,0.498703170029,Manhattan
175,488,4934.0,4996.0,0.496878147029,Manhattan
176,317,3271.0,3688.0,0.470038798678,Manhattan
177,422,2851.0,2823.0,0.502467395136,Manhattan
178,443,322.0,371.0,0.464646464646,Brooklyn
179,173,4583.0,4570.0,0.500710149678,Manhattan
180,365,837.0,835.0,0.500598086124,Brooklyn
181,469,2328.0,2193.0,0.514930325149,Manhattan
182,474,4807.0,4856.0,0.497464555521,Manhattan
183,403,3709.0,3671.0,0.502574525745,Manhattan
184,320,2548.0,2489.0,0.505856660711,Manhattan
185,475,3943.0,3950.0,0.499556569112,Manhattan
186,508,3492.0,3452.0,0.502880184332,Manhattan
187,348,5258.0,5514.0,0.488117341255,Manhattan
188,355,3276.0,3319.0,0.496739954511,Manhattan
189,2004,2882.0,2935.0,0.495444387141,Manhattan
190,511,5417.0,4705.0,0.535170914839,Manhattan
191,480,2917.0,2972.0,0.495330276787,Manhattan
192,520,3285.0,3696.0,0.470562956596,Manhattan
193,298,646.0,697.0,0.481012658228,Brooklyn
194,244,876.0,783.0,0.528028933092,Brooklyn
195,375,5250.0,5510.0,0.487918215613,Manhattan
196,412,3119.0,3173.0,0.495708836618,Manhattan
197,377,2781.0,2775.0,0.500539956803,Manhattan
198,302,1602.0,1623.0,0.496744186047,Manhattan
199,359,4771.0,5246.0,0.476290306479,Manhattan
200,367,2114.0,2103.0,0.501304244724,Manhattan
201,3180,1240.0,1132.0,0.522765598651,Brooklyn
202,326,4092.0,4058.0,0.502085889571,Manhattan
203,438,3981.0,4064.0,0.49484151647,Manhattan
204,327,8873.0,8879.0,0.499831004957,Manhattan
205,500,3042.0,2947.0,0.507931207213,Manhattan
206,417,6479.0,6512.0,0.498729889924,Manhattan
207,259,3294.0,3269.0,0.501904616791,Manhattan
208,468,4148.0,3197.0,0.56473791695,Manhattan
209,405,6826.0,6816.0,0.500366515174,Manhattan
210,253,3584.0,3499.0,0.506000282366,Manhattan
211,514,7866.0,7867.0,0.499968219666,Manhattan
212,391,2012.0,1846.0,0.521513737688,Brooklyn
213,394,3358.0,3340.0,0.501343684682,Manhattan
214,418,814.0,884.0,0.479387514723,Brooklyn
215,353,796.0,881.0,0.47465712582,Brooklyn
216,291,1454.0,1449.0,0.500861178092,Manhattan
217,270,1379.0,1196.0,0.535533980583,Brooklyn
218,505,5506.0,5579.0,0.496707262066,Manhattan
219,330,2407.0,2290.0,0.512454758356,Manhattan
220,331,1555.0,1543.0,0.501936733376,Manhattan
221,328,3445.0,3521.0,0.494544932529,Manhattan
222,525,2597.0,2608.0,0.498943323727,Manhattan
223,396,798.0,778.0,0.506345177665,Brooklyn
224,120,621.0,591.0,0.512376237624,Brooklyn
225,495,3459.0,3491.0,0.497697841727,Manhattan
226,72,3504.0,3444.0,0.504317789292,Manhattan
227,472,6004.0,5745.0,0.511022214657,Manhattan
228,512,3455.0,3484.0,0.497910361724,Manhattan
229,406,1401.0,1362.0,0.507057546145,Brooklyn
230,301,4212.0,4178.0,0.502026221692,Manhattan
231,460,1453.0,1443.0,0.501726519337,Brooklyn
232,516,1471.0,1092.0,0.573936792821,Manhattan
233,341,1449.0,1434.0,0.502601456816,Manhattan
234,2000,2035.0,2249.0,0.47502334267,Brooklyn
235,323,1443.0,1555.0,0.481320880587,Brooklyn
236,150,2511.0,2632.0,0.488236437877,Manhattan
237,530,4772.0,4932.0,0.491755976917,Manhattan
238,473,2567.0,2666.0,0.490540798777,Manhattan
239,164,2640.0,2628.0,0.501138952164,Manhattan
240,467,1643.0,1741.0,0.485520094563,Brooklyn
241,400,768.0,806.0,0.48792884371,Manhattan
242,305,4756.0,4747.0,0.500473534673,Manhattan
243,509,5452.0,5203.0,0.511684655092,Manhattan
244,351,2335.0,2419.0,0.491165334455,Manhattan
245,462,6228.0,6032.0,0.507993474715,Manhattan
246,264,2221.0,2292.0,0.492133835586,Manhattan
247,2006,8204.0,8400.0,0.494097807757,Manhattan
248,260,1489.0,1790.0,0.454101860323,Manhattan
249,340,1615.0,1564.0,0.508021390374,Manhattan
250,243,795.0,982.0,0.447383230163,Brooklyn
251,249,1817.0,1809.0,0.50110314396,Manhattan
252,216,1021.0,887.0,0.535115303983,Brooklyn
253,167,1686.0,1705.0,0.497198466529,Manhattan
254,2002,2521.0,2568.0,0.495382196895,Brooklyn
255,266,1267.0,1170.0,0.51990151826,Manhattan
256,304,3608.0,3614.0,0.499584602603,Manhattan
