,id,Latitude,Longitude
0,168,40.73971301,-73.99456405
1,450,40.76227205,-73.98788205
2,312,40.722055,-73.989111
3,382,40.73492695,-73.99200509
4,352,40.76340613,-73.97722479
5,212,40.74334935,-74.00681753
6,388,40.74971775,-74.00295035
7,492,40.75019995,-73.99093085
8,387,40.71273266,-74.0046073
9,285,40.73454567,-73.99074142
12,476,40.74394314,-73.97966069
13,263,40.71729,-73.996375
14,79,40.71911552,-74.00666661
15,379,40.749156,-73.9916
16,368,40.73038599,-74.00214988
17,336,40.73047747,-73.99906065
18,426,40.71754834,-74.01322069
19,281,40.7643971,-73.97371465
20,229,40.72743423,-73.99379025
21,439,40.7262807,-73.98978041
22,347,40.728846,-74.008591
23,293,40.73028666,-73.9907647
24,329,40.72043411,-74.01020609
25,3002,40.711512,-74.015756
27,335,40.72903917,-73.99404649
28,502,40.714215,-73.981346
29,261,40.69474881,-73.98362464
30,497,40.73704984,-73.99009296
31,491,40.74096374,-73.98602213
32,251,40.72317958,-73.99480012
33,445,40.72740794,-73.98142006
35,444,40.7423543,-73.98915076
36,161,40.72917025,-73.99810231
37,252,40.73226398,-73.99852205
38,428,40.72467721,-73.98783413
40,395,40.68807003,-73.98410637
41,515,40.76009437,-73.99461843
42,237,40.73047309,-73.98672378
43,459,40.746745,-74.007756
45,280,40.73331967,-73.99510132
46,393,40.72299208,-73.97995466
50,268,40.71910537,-73.99973337
52,2022,40.759107,-73.959223
53,350,40.71559509,-73.9870295
54,453,40.74475148,-73.99915362
56,303,40.72362738,-73.99949601
57,2003,40.73381219,-73.98054421
58,529,40.7575699,-73.99098507
59,410,40.72066442,-73.98517977
61,217,40.70277159,-73.99383605
62,2008,40.70569254,-74.01677685
63,490,40.751551,-73.993934
67,116,40.74177603,-74.00149746
68,385,40.75797322,-73.96603308
70,532,40.710451,-73.960876
75,499,40.76915505,-73.98191841
77,349,40.71850211,-73.98329859
78,527,40.744023,-73.976056
79,466,40.74395411,-73.99144871
81,300,40.728145,-73.990214
83,238,40.7361967,-74.00859207
84,236,40.7284186,-73.98713956
86,479,40.76019252,-73.9912551
87,345,40.73649403,-73.99704374
88,397,40.68415748,-73.96922273
89,504,40.73221853,-73.98165557
90,361,40.71605866,-73.99190759
92,447,40.76370739,-73.9851615
93,128,40.72710258,-74.00297088
95,146,40.71625008,-74.0091059
97,431,40.68864636,-73.98263429
98,250,40.72456089,-73.99565293
101,160,40.748238,-73.978311
102,225,40.74195138,-74.00803013
103,380,40.73401143,-74.00293877
107,493,40.7568001,-73.98291153
108,369,40.73224119,-74.00026394
109,311,40.7172274,-73.98802084
111,507,40.73912601,-73.97973776
112,537,40.74025878,-73.98409214
114,441,40.756014,-73.967416
115,461,40.73587678,-73.98205027
116,454,40.75455731,-73.96592976
119,357,40.73261787,-73.99158043
120,2009,40.71117444,-73.99682619
121,295,40.71406667,-73.99293911
122,2012,40.739445,-73.976806
123,482,40.73935542,-73.99931783
124,346,40.73652889,-74.00618026
127,496,40.73726186,-73.99238967
132,526,40.74765947,-73.98490707
133,455,40.75001986,-73.96905301
134,254,40.73532427,-73.99800419
136,486,40.7462009,-73.98855723
137,485,40.75038009,-73.98338988
138,334,40.74238787,-73.99726235
139,257,40.71939226,-74.00247214
140,358,40.73291553,-74.00711384
141,435,40.74173969,-73.99415556
144,494,40.74734825,-73.99723551
149,321,40.69991755,-73.98971773
151,430,40.7014851,-73.98656928
153,471,40.71286844,-73.95698119
157,318,40.75320159,-73.9779874
160,503,40.73827428,-73.98751968
161,174,40.7381765,-73.97738662
162,153,40.75206231,-73.9816324
166,423,40.76584941,-73.98690506
170,449,40.76461837,-73.98789473
171,306,40.70823502,-74.00530063
172,389,40.71044554,-73.96525063
176,383,40.735238,-74.000271
179,458,40.751396,-74.005226
180,528,40.74290902,-73.97706058
181,2021,40.75929124,-73.98859651
182,360,40.70717936,-74.00887308
183,501,40.744219,-73.97121214
186,489,40.75066386,-74.00176802
187,531,40.71893904,-73.99266288
188,545,40.736502,-73.97809472
189,521,40.75096735,-73.99444208
194,83,40.68382604,-73.97632328
195,147,40.71542197,-74.01121978
198,224,40.71146364,-74.00552427
199,470,40.74345335,-74.00004031
201,433,40.72955361,-73.98057249
203,342,40.71739973,-73.98016555
209,372,40.694528,-73.958089
211,274,40.68691865,-73.976682
212,324,40.689888,-73.981013
214,523,40.75466591,-73.99138152
215,247,40.73535398,-74.00483091
218,232,40.69597683,-73.99014892
222,258,40.68940747,-73.96885458
229,157,40.69089272,-73.99612349
237,463,40.74206539,-74.00443172
238,195,40.70905623,-74.01043382
239,223,40.73781509,-73.99994661
251,442,40.746647,-73.993915
252,510,40.7606597,-73.98042047
255,446,40.74487634,-73.99529885
256,275,40.68650065,-73.96563307
258,498,40.74854862,-73.98808416
263,522,40.75714758,-73.97207836
264,2010,40.72165481,-74.00234737
267,151,40.7218158,-73.99720307
268,401,40.72019576,-73.98997825
271,265,40.72229346,-73.99147535
273,294,40.73049393,-73.9957214
274,465,40.75513557,-73.98658032
276,519,40.751873,-73.977706
279,376,40.70862144,-74.00722156
288,536,40.74144387,-73.97536082
289,279,40.707873,-74.00167
295,315,40.70355377,-74.00670227
312,457,40.76695317,-73.98169333
313,290,40.76020258,-73.96478473
315,478,40.76030096,-73.99884222
318,448,40.75660359,-73.9979009
319,404,40.7405826,-74.00550867
320,402,40.7403432,-73.98955109
323,127,40.73172428,-74.00674436
326,434,40.74317449,-74.00366443
327,432,40.72621788,-73.98379855
329,308,40.71307916,-73.99851193
333,539,40.71534825,-73.96024116
337,296,40.71413089,-73.9970468
339,546,40.74444921,-73.98303529
345,297,40.734232,-73.986923
347,533,40.75299641,-73.98721619
357,477,40.75640548,-73.9900262
358,307,40.71427487,-73.98990025
359,284,40.73901691,-74.00263761
372,483,40.73223272,-73.98889957
379,325,40.73624527,-73.98473765
381,488,40.75645824,-73.99372222
382,317,40.72453734,-73.98185424
385,422,40.770513,-73.988038
387,443,40.70853074,-73.96408963
392,173,40.76064679,-73.98442659
399,365,40.68223166,-73.9614583
400,469,40.76344058,-73.98268129
405,474,40.7451677,-73.98683077
414,403,40.72502876,-73.99069656
415,320,40.717571,-74.005549
421,475,40.73524276,-73.98758561
432,508,40.76341379,-73.99667444
440,348,40.72490985,-74.00154702
443,355,40.71602118,-73.99974372
444,2004,40.724399,-74.004704
446,511,40.72938685,-73.97772429
451,480,40.76669671,-73.99061728
453,520,40.75992262,-73.97648516
465,298,40.68683208,-73.9796772
474,244,40.69196035,-73.96536851
481,375,40.72679454,-73.99695094
486,412,40.7158155,-73.99422366
493,377,40.72243797,-74.00566443
497,302,40.72082834,-73.97793172
499,359,40.75510267,-73.97498696
503,367,40.75828065,-73.97069431
517,3180,40.69878,-73.99712
522,326,40.72953837,-73.98426726
524,438,40.72779126,-73.98564945
527,327,40.7153379,-74.01658354
537,500,40.76228826,-73.98336183
548,417,40.71291224,-74.01020234
549,259,40.70122128,-74.01234218
554,468,40.7652654,-73.98192338
555,405,40.739323,-74.008119
560,253,40.73543934,-73.99453948
567,514,40.76087502,-74.00277668
577,391,40.69760127,-73.99344559
578,394,40.72521311,-73.97768752
592,418,40.70224,-73.982578
601,353,40.68539567,-73.97431458
603,291,40.713126,-73.984844
607,270,40.69308257,-73.97178913
620,505,40.74901271,-73.98848395
622,330,40.71450451,-74.00562789
627,331,40.71173107,-73.99193043
652,328,40.72405549,-74.00965965
655,525,40.75594159,-74.0021163
656,396,40.68034242,-73.95576894
660,120,40.68676793,-73.95928168
661,495,40.76269882,-73.99301222
664,72,40.76727216,-73.99392888
667,472,40.7457121,-73.98194829
684,512,40.7500727,-73.99839279
700,406,40.69512845,-73.99595065
701,301,40.72217444,-73.98368779
